"session_id","timestamp","ip","perfil","modelo","provedor"
"102e03d5","2026-04-15T00:40:15.432769","192.168.1.34","nao_definido","llama-3.3-70b-versatile","Groq"
"686eae19","2026-04-15T01:14:59.588782","192.168.0.30","nao_definido","llama-3.3-70b-versatile","Groq"
"106b1f8f","2026-04-22T17:36:50.054074","192.168.1.232","nao_definido","llama-3.3-70b-versatile","Groq"
"eae3f43e","2026-04-28T12:44:00.849869","192.168.1.177","nao_definido","llama-3.3-70b-versatile","Groq"
"c68baef2","2026-04-28T14:36:08.170319","192.168.0.130","nao_definido","llama-3.3-70b-versatile","Groq"
"78534a92","2026-04-30T13:32:34.525056","192.168.1.102","nao_definido","llama-3.3-70b-versatile","Groq"
"c7b629ae","2026-04-30T14:24:12.940166","192.168.0.117","vendedor","llama-3.3-70b-versatile","Groq"
"7663033b","2026-04-30T16:55:20.073446","192.168.2.24","vendedor","llama-3.3-70b-versatile","Groq"
"eb3613d5","2026-04-30T17:03:14.302123","192.168.2.4","vendedor","llama-3.3-70b-versatile","Groq"
"ad16b193","2026-04-30T17:07:32.289024","192.168.2.4","vendedor","llama-3.3-70b-versatile","Groq"
"eac95e32","2026-05-13T16:42:32.684578","192.168.2.87","vendedor","llama-3.3-70b-versatile","Groq"
"3533f795","2026-05-14T12:08:46.509177","192.168.0.84","vendedor","llama-3.3-70b-versatile","Groq"
