"session_id","timestamp_inicio_sessao","timestamp_resposta","modelo","provedor","perfil_usuario","input_tokens","output_tokens","total_tokens","tempo_resposta_seg","tokens_acumulados_sessao","n_mensagens_sessao"
"fb354450","2026-04-10T19:03:36.503652","2026-04-10T19:08:57","llama-3.3-70b-versatile","Groq","vendedor","859","43","902","0.46","902","1"
"fb354450","2026-04-10T19:03:36.503652","2026-04-10T19:09:02","llama-3.3-70b-versatile","Groq","vendedor","1214","13","1227","0.23","2129","2"
"fb354450","2026-04-10T19:03:36.503652","2026-04-10T19:09:08","llama-3.3-70b-versatile","Groq","vendedor","1330","283","1613","1.2","3742","3"
"fb354450","2026-04-10T19:03:36.503652","2026-04-10T19:18:14","llama-3.3-70b-versatile","Groq","vendedor","1660","13","1673","0.38","5415","4"
"361999be","2026-04-10T19:23:25.063979","2026-04-10T19:24:24","llama-3.3-70b-versatile","Groq","vendedor","1042","255","1297","1.15","1297","1"
"361999be","2026-04-10T19:23:25.063979","2026-04-10T19:24:40","llama-3.3-70b-versatile","Groq","vendedor","1788","13","1801","0.31","3098","2"
"361999be","2026-04-10T19:23:25.063979","2026-04-10T19:24:50","llama-3.3-70b-versatile","Groq","vendedor","1686","507","2193","1.47","5291","3"
"8a6e232c","2026-04-10T19:35:59.549410","2026-04-10T19:36:27","llama-3.3-70b-versatile","Groq","vendedor","1962","13","1975","0.44","1975","1"
"8a6e232c","2026-04-10T19:35:59.549410","2026-04-10T19:36:32","llama-3.3-70b-versatile","Groq","vendedor","1998","13","2011","0.35","3986","2"
"8a6e232c","2026-04-10T19:35:59.549410","2026-04-10T19:36:43","llama-3.3-70b-versatile","Groq","vendedor","1232","259","1491","0.89","5477","3"
"c9a66e62","2026-04-10T19:44:59.744030","2026-04-10T19:46:14","llama-3.3-70b-versatile","Groq","vendedor","1516","467","1983","1.59","1983","1"
"c9a66e62","2026-04-10T19:44:59.744030","2026-04-10T19:46:21","llama-3.3-70b-versatile","Groq","vendedor","1962","13","1975","0.56","3958","2"
"fffb823d","2026-04-10T19:50:26.909738","2026-04-10T19:51:12","llama-3.3-70b-versatile","Groq","vendedor","1994","13","2007","0.41","2007","1"
"2623d232","2026-04-10T19:55:31.649441","2026-04-10T19:55:57","llama-3.3-70b-versatile","Groq","vendedor","1958","13","1971","0.52","1971","1"
"ed1d9fbf","2026-04-10T20:00:08.918231","2026-04-10T20:02:42","llama-3.3-70b-versatile","Groq","vendedor","1356","363","1719","1.21","1719","1"
"ed1d9fbf","2026-04-10T20:00:08.918231","2026-04-10T20:02:47","llama-3.3-70b-versatile","Groq","vendedor","1998","13","2011","0.35","3730","2"
"100203de","2026-04-10T20:08:14.713713","2026-04-10T20:08:36","llama-3.3-70b-versatile","Groq","vendedor","1958","13","1971","0.33","1971","1"
